iter	Passed	Remaining
0	14	1439
1	20	1009
2	26	872
3	34	816
4	40	774
5	47	742
6	54	721
7	61	705
8	68	691
9	74	674
10	81	658
11	88	645
12	94	632
13	101	620
14	107	610
15	114	600
16	120	589
17	127	581
18	136	583
19	144	576
20	152	573
21	158	563
22	166	558
23	173	549
24	180	540
25	186	531
26	193	524
27	200	514
28	206	505
29	213	498
30	220	489
31	226	481
32	234	475
33	240	467
34	247	459
35	254	452
36	261	445
37	268	437
38	274	429
39	281	422
40	287	413
41	293	405
42	300	398
43	307	391
44	314	384
45	320	376
46	327	369
47	335	363
48	342	356
49	350	350
50	358	344
51	364	336
52	371	329
53	378	322
54	385	315
55	392	308
56	399	301
57	405	293
58	412	286
59	419	279
60	426	272
61	432	264
62	439	257
63	445	250
64	453	244
65	459	236
66	466	229
67	472	222
68	479	215
69	486	208
70	492	201
71	499	194
72	505	187
73	511	179
74	519	173
75	527	166
76	535	160
77	542	153
78	549	146
79	556	139
80	562	132
81	570	125
82	577	118
83	583	111
84	589	104
85	595	97
86	602	90
87	609	83
88	616	76
89	622	69
90	629	62
91	635	55
92	642	48
93	648	41
94	655	34
95	662	27
96	669	20
97	676	13
98	682	6
99	689	0
