iter	Logloss
0	0.665194725
1	0.6366754793
2	0.6128605093
3	0.588708292
4	0.5679984074
5	0.5474998848
6	0.5293049515
7	0.5121093851
8	0.4957958944
9	0.4828154025
10	0.470366695
11	0.4584352396
12	0.4479042238
13	0.4367993276
14	0.4276828
15	0.418339851
16	0.4096739909
17	0.4015299696
18	0.3949482077
19	0.3885501307
20	0.3817202812
21	0.3761458374
22	0.3707120325
23	0.3654467188
24	0.3601516477
25	0.355902709
26	0.3521376612
27	0.3482060184
28	0.3443220877
29	0.340964624
30	0.3380007713
31	0.3347630812
32	0.331862575
33	0.3291764026
34	0.3269507073
35	0.324777869
36	0.3225323475
37	0.3207569155
38	0.3187988654
39	0.3168514668
40	0.3149360569
41	0.3134834111
42	0.311668221
43	0.3101445392
44	0.3087006246
45	0.3071875139
46	0.3059063011
47	0.3045552188
48	0.3035928044
49	0.3023219903
50	0.3011796041
51	0.3000490099
52	0.2990201097
53	0.2982405936
54	0.297356697
55	0.2966202323
56	0.2956756618
57	0.2948085895
58	0.2940938956
59	0.2932312322
60	0.2926943867
61	0.2919457564
62	0.2915312467
63	0.2909544162
64	0.2904271242
65	0.2899402881
66	0.2893501742
67	0.2887737317
68	0.2880448701
69	0.2877848835
70	0.2873988753
71	0.2870742802
72	0.2864909682
73	0.285918261
74	0.2854498131
75	0.2850127575
76	0.2847218706
77	0.2842316785
78	0.2837398691
79	0.2833944932
80	0.2828553087
81	0.2825188469
82	0.2820840697
83	0.2817139073
84	0.2814231901
85	0.281063521
86	0.2807427146
87	0.280573072
88	0.2802423124
89	0.2798649078
90	0.2795666798
91	0.2793444018
92	0.2790908271
93	0.2787309871
94	0.2781978439
95	0.277950588
96	0.2777027658
97	0.2773564123
98	0.2771000933
99	0.2768421576
