iter	Logloss
0	0.6837355128
1	0.6740725641
2	0.6644435881
3	0.6558664122
4	0.6467661864
5	0.638406749
6	0.6303963641
7	0.6221875972
8	0.6142326832
9	0.6068324295
10	0.5991244626
11	0.5916563585
12	0.5842451898
13	0.5771914329
14	0.5701990287
15	0.5636348636
16	0.5570714148
17	0.5511015831
18	0.5451742539
19	0.5390287816
20	0.532882547
21	0.5269329034
22	0.5212637897
23	0.5156287651
24	0.510504808
25	0.5050946021
26	0.5001599787
27	0.4953076004
28	0.4904924205
29	0.4857959912
30	0.4816217349
31	0.4772898438
32	0.4726293262
33	0.4689837905
34	0.4646455905
35	0.4607020173
36	0.4571305282
37	0.4532828692
38	0.4493222059
39	0.4452252902
40	0.4417202087
41	0.4385122853
42	0.4349632112
43	0.4321714333
44	0.4288910348
45	0.4257292868
46	0.422596331
47	0.4195942188
48	0.416782159
49	0.4139701689
50	0.4111056036
51	0.4086837974
52	0.4061555817
53	0.4034196984
54	0.4009205261
55	0.3985942482
56	0.3961339124
57	0.3938815079
58	0.3914523451
59	0.389124729
60	0.3869907333
61	0.3846603964
62	0.3825544337
63	0.3806809239
64	0.3786475386
65	0.3766670566
66	0.3750710047
67	0.3732567598
68	0.3716114375
69	0.3698255577
70	0.3679256256
71	0.3661705332
72	0.364430711
73	0.3627884937
74	0.3611557203
75	0.359741717
76	0.3581727345
77	0.3567567067
78	0.3552816744
79	0.3538979606
80	0.3525374817
81	0.3512902472
82	0.3498701883
83	0.3486195731
84	0.3472882133
85	0.3460383101
86	0.3447330571
87	0.3435480725
88	0.342391367
89	0.3413640252
90	0.3402948133
91	0.3391715177
92	0.3381093399
93	0.337196116
94	0.3361900036
95	0.3351646011
96	0.3340689036
97	0.3331716962
98	0.3321546423
99	0.3313255937
