iter	Passed	Remaining
0	8	810
1	15	781
2	22	730
3	29	701
4	36	685
5	42	670
6	49	661
7	56	646
8	62	629
9	68	616
10	74	604
11	81	594
12	87	584
13	93	574
14	100	566
15	106	558
16	112	551
17	119	542
18	125	535
19	131	527
20	138	521
21	145	515
22	151	508
23	159	506
24	166	499
25	174	496
26	182	493
27	189	488
28	197	484
29	204	477
30	211	471
31	218	463
32	225	457
33	231	450
34	239	444
35	245	436
36	252	429
37	258	421
38	264	413
39	271	407
40	277	399
41	284	393
42	291	385
43	297	378
44	304	371
45	310	364
46	316	357
47	323	350
48	331	344
49	338	338
50	344	331
51	351	324
52	357	317
53	365	311
54	374	306
55	382	300
56	390	294
57	397	287
58	404	281
59	411	274
60	418	267
61	425	260
62	432	253
63	438	246
64	445	239
65	452	233
66	458	225
67	464	218
68	471	211
69	478	205
70	485	198
71	491	191
72	498	184
73	504	177
74	511	170
75	518	163
76	524	156
77	531	149
78	538	143
79	546	136
80	553	129
81	562	123
82	569	116
83	576	109
84	583	103
85	590	96
86	597	89
87	603	82
88	610	75
89	616	68
90	623	61
91	629	54
92	636	47
93	642	41
94	649	34
95	655	27
96	662	20
97	669	13
98	676	6
99	683	0
